,doi,src_domain,link_to_paper
0,10.1073_slashpnas.0804292105,www.pnas.org,http://www.pnas.org/cgi/pmidlookup?view=long&pmid=18650386
1,10.1073_slashpnas.0804292105,www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/18650386/
