,doi,src_domain,link_to_paper
0,10.1371_slashjournal.pone.0118832,dx.plos.org,http://dx.plos.org/10.1371/journal.pone.0118832
1,10.1371_slashjournal.pone.0118832,www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/25768289/
